activity_type,company_name,full_name,job_title,email,phone,address,city,state,country,zip_code,industry,nature_of_business,engagement_level,company_size,company_revenue,last_activity,content_name,asset_description,booth_scan_notes,consent_statement_served,consent_response
Exhibitor Bookmarked,Evergreen IT,Mark Brown,Vulnerability Management Engineer,mark.brown@evergreenit.co,+4 195-4582,3911 Church St,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very High,1-100,Unavailable,2026-06-10 11:37:11,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Keystone Digital,Olivia Lewis,Blue Team Lead,olivia@keystonedigi.io,+14 194-7224,1684 Valley Dr,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Medium,5K-10K,Less Than $1M,2026-06-10 16:21:48,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Pinnacle Software,Ashley Carter,Email Security Analyst,ashley@pinnaclesoft.com,+11 975-4814,1754 Forest Ave,Belo Horizonte,MG,Brazil,30130,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Medium,Unavailable,$500M-$1B,2026-06-10 10:57:39,Cloud Security Posture Management Demo,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Coral Systems,Patrick Clark,Product Security Lead,patrick@coralsystems.net,+82 804-4598,5413 Oak Ave,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Low,1-100,$500M-$1B,2026-06-10 15:18:10,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Trident Systems,Thomas Ramirez,Data Protection Officer,thomas@tridentsyste.io,+96 698-8019,9660 Forest Ave,Tokyo,Tokyo,Japan,100-0001,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Medium,1K-5K,$10M-$50M,2026-06-10 17:16:32,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Quantum Systems,Nancy Long,Security Awareness Manager,nancyl@quantumsyste.co,(741) 457-1188,1976 Spring St,Atlanta,GA,United States  ,30301,Software Publishers,Software Publishers,Medium,10K-50K,$1M-$10M,2026-06-10 13:20:34,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Nexus Technologies,Kenneth Collins,CTO,kenneth@nexustechnol.io,(980) 365-9837,8789 Main St,Vancouver,British Columbia,Canada,V6B,Oil And Gas Extraction,Oil And Gas Extraction,Very High,10K-50K,More Than $10B,2026-06-10 08:21:16,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Cobalt Security,Raymond Flores,Cloud Security Engineer,rflores@cobaltsecuri.com,(875) 686-3705,4442 Church St,Austin,TX,United States  ,78701,Scientific Research And Development Services,Scientific Research And Development Services,Very High,50K+,$50M-$100M,2026-06-10 17:49:03,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Content Download,Coral Systems,Helen Phillips,SOC Manager,helen.phillips@coralsystems.io,+76 667-4770,9741 Cedar Blvd,Mumbai,Maharashtra,India,400001,Oil And Gas Extraction,Oil And Gas Extraction,Very Low,101-500,Less Than $1M,2026-06-10 12:10:03,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Orion Networks,David Nelson,DevSecOps Engineer,davidn@orionnetwork.co,+32 903-8749,6769 Maple Dr,Dublin,Dublin,Ireland,D01,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Very Low,101-500,$1B-$10B,2026-06-10 14:26:59,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
